;optimal_profit;selected_items;time_taken
f10_l-d_kp_20_879;1025.0;[(91.0, 84.0), (72.0, 83.0), (90.0, 43.0), (46.0, 4.0), (55.0, 44.0), (8.0, 6.0), (35.0, 82.0), (75.0, 92.0), (61.0, 25.0), (77.0, 56.0), (40.0, 18.0), (63.0, 58.0), (75.0, 14.0), (75.0, 70.0), (78.0, 32.0), (40.0, 68.0), (44.0, 92.0)];0.0001125335693359375
f1_l-d_kp_10_269;295.0;[(10.0, 4.0), (47.0, 60.0), (5.0, 32.0), (61.0, 62.0), (85.0, 65.0), (87.0, 46.0)];5.078315734863281e-05
f2_l-d_kp_20_878;1024.0;[(44.0, 92.0), (46.0, 4.0), (90.0, 43.0), (72.0, 83.0), (91.0, 84.0), (40.0, 68.0), (75.0, 92.0), (35.0, 82.0), (8.0, 6.0), (54.0, 44.0), (78.0, 32.0), (40.0, 18.0), (77.0, 56.0), (61.0, 25.0), (75.0, 70.0), (75.0, 14.0), (63.0, 58.0)];0.00011849403381347656
f3_l-d_kp_4_20;35.0;[(9.0, 6.0), (11.0, 5.0), (15.0, 7.0)];4.863739013671875e-05
f4_l-d_kp_4_11;23.0;[(10.0, 4.0), (13.0, 7.0)];0.00013518333435058594
f5_l-d_kp_15_375;481.069368;[(58.500931, 47.987304), (82.284005, 74.660482), (71.050142, 51.353496), (30.399487, 1.498459), (14.731285, 16.589862), (98.852504, 44.569231), (11.908322, 0.466933), (53.166295, 57.118442), (60.176397, 60.716575)];3.838539123535156e-05
f6_l-d_kp_10_60;52.0;[(17.0, 20.0), (15.0, 17.0), (10.0, 11.0), (5.0, 5.0), (3.0, 2.0), (1.0, 1.0), (1.0, 1.0)];0.0002243518829345703
f7_l-d_kp_7_50;107.0;[(70.0, 31.0), (37.0, 19.0)];4.076957702636719e-05
f8_l-d_kp_23_10000;9767.0;[(981.0, 983.0), (980.0, 982.0), (979.0, 981.0), (978.0, 980.0), (977.0, 979.0), (976.0, 978.0), (487.0, 488.0), (974.0, 976.0), (485.0, 486.0), (976.0, 969.0), (974.0, 966.0)];3.1292366981506348
f9_l-d_kp_5_80;130.0;[(33.0, 15.0), (24.0, 20.0), (36.0, 17.0), (37.0, 8.0)];5.245208740234375e-05
