;optimal_profit;greedy_profit;selected_items
knapPI_3_200_1000_1;2697;2649;[29, 20, 169, 157, 96, 12, 106, 89, 147, 113, 74, 46, 85, 164, 163, 120, 26]
knapPI_1_1000_1000_1;54503;54386;[830, 599, 10, 216, 603, 121, 732, 347, 473, 379, 419, 426, 146, 657, 770, 945, 48, 273, 573, 743, 737, 134, 281, 494, 382, 703, 476, 855, 493, 824, 249, 53, 822, 736, 37, 610, 421, 845, 469, 989, 362, 992, 6, 612, 23, 775, 708, 786, 32, 60, 334, 937, 463, 446, 914, 269, 38, 147, 967, 886, 849, 986, 373, 245, 13, 25, 718, 254, 539, 669, 751, 151, 987, 480, 137, 887, 585, 236, 984, 592, 215, 598, 643]
knapPI_3_500_1000_1;7117;7098;[271, 423, 29, 323, 20, 432, 242, 490, 169, 273, 157, 391, 292, 96, 268, 307, 498, 12, 106, 265, 375, 89, 475, 294, 211, 147, 302, 113, 74, 204, 46, 422, 85, 479, 343, 164, 163, 120, 472, 233, 483, 26, 1, 203, 64, 384]
knapPI_2_5000_1000_1;44356;44351;[830, 1143, 3032, 2720, 3215, 1457, 4648, 3216, 3364, 599, 473, 3599, 1400, 4026, 3636, 4512, 426, 603, 732, 2966, 1361, 2685, 2365, 1260, 1048, 4975, 3023, 245, 4457, 4391, 4214, 945, 4787, 3450, 4544, 249, 539, 2146, 4818, 421, 1099, 1485, 643, 4148, 4531, 2581, 3409, 2374, 2611, 3397, 269, 2620, 743, 2832, 1117, 3382, 4406, 3589, 1419, 657, 1507, 2587, 1729, 4796, 1322, 845, 463, 775, 3934, 3108, 4569, 2132, 1667, 1861, 2427, 262, 770, 2570, 3211, 2424, 3183, 3512, 1953, 2268, 1394, 2531, 2032, 1604, 2269, 1548, 2438, 669, 1431, 3351, 3175, 4160, 4783, 2509, 37, 1248, 4691, 3756, 2165, 2346, 2084, 3891, 236, 1199, 3897, 708, 4881, 479, 2836, 4487, 1692, 211, 469, 1168, 3628, 3019, 1948, 147, 1997, 3933, 3269, 989, 4759, 4782, 3171, 1413, 4285, 2004, 23, 446, 3236, 2595, 4556, 1158, 4784, 1300, 2791, 4289, 2675, 1544, 1515, 1662, 1991, 568, 4119, 2777, 1756, 3082, 3188, 3711, 3962, 3303, 1731, 1383, 4032, 3604, 3068, 3547, 1341, 2742, 1954, 1638, 736, 1489, 3281, 53, 1114, 1647, 4272, 3330, 658, 2470, 1964, 3795, 4535, 32, 3869, 2185, 1868, 3342, 1549, 3676, 137, 70, 2868, 4355, 3960, 3667, 2236, 159, 2747, 4425, 4258, 4669, 198, 2251, 3747, 4966, 4893, 3055, 3872, 3943, 1770, 1344, 2779, 4846, 967, 4035, 4483, 4705, 807, 1671, 4553, 2806, 2687, 610, 726, 2480, 292, 397, 56, 550, 3894, 2884, 4636, 3304, 84, 2471, 3095, 3513, 2057, 4066, 4849, 1442, 3474, 44, 3454, 379, 289, 827, 1608, 317, 3900, 1906, 3135, 109, 1085, 1204, 4304, 2253, 2203, 935, 4524, 4378, 4163, 3705, 4548, 3256, 2100, 2002, 4816, 156, 2780, 2657, 1765, 452, 4968, 1975, 882, 1133, 2601, 545, 266, 973, 4666, 2287, 3067, 1269, 573, 2811, 4103, 3187, 3882, 4090, 3562, 2896, 2744]
knapPI_3_2000_1000_1;28919;28827;[1660, 1267, 883, 271, 1198, 946, 423, 721, 29, 1615, 1451, 852, 1206, 637, 323, 20, 1599, 1471, 432, 242, 1474, 1385, 1731, 767, 1849, 668, 1351, 926, 490, 1605, 1464, 1146, 169, 1834, 1261, 1984, 694, 583, 1733, 757, 273, 1193, 838, 1463, 1273, 1623, 1899, 157, 391, 764, 758, 1835, 1657, 1486, 292, 96, 675, 268, 307, 1877, 1617, 1472, 1890, 1353, 1344, 1314, 538, 498, 1561, 1540, 659, 1689, 1379, 1286, 1637, 1078, 1968, 546, 1681, 895, 1196, 909, 12, 1205, 842, 986, 849, 106, 1159, 265, 1467, 833, 1550, 574, 1411, 1167, 1369, 988, 921, 562, 375, 1978, 1710, 1309, 1224, 1406, 1567, 1644, 89, 1376, 1690, 524, 475, 1491, 597, 294, 1676, 1189, 211, 1945, 1436, 1007, 952, 147, 1695, 1648, 1001, 302, 113, 1555, 74, 1302, 1100, 938, 663, 204, 46, 1633, 1572, 1220, 724, 1614, 422, 1679, 959, 665, 505, 1105, 85, 1187, 1097, 855, 479, 1774, 1338, 584, 343, 1874, 958, 164, 1993, 1698, 1186, 1149, 739, 1656, 163, 120, 1759, 1416, 1345, 472, 233, 1853, 1170, 483, 1445, 851, 26, 1, 1203, 606, 567, 1942, 662, 607, 589, 203, 64, 892, 384]
knapPI_1_10000_1000_1;563647;563605;[8557, 7068, 2504, 830, 1143, 1457, 9094, 5101, 8238, 2744, 5274, 6307, 4131, 6376, 3562, 5079, 9346, 2896, 4648, 8660, 7875, 7810, 6096, 2720, 1361, 3215, 1904, 8774, 3216, 5068, 4487, 3364, 7117, 4512, 8110, 5693, 9272, 5136, 5407, 4026, 7327, 2966, 4818, 9164, 3398, 599, 3675, 10, 3584, 6107, 216, 5008, 6526, 603, 3180, 4544, 5496, 7915, 8579, 4152, 121, 6347, 7510, 9559, 1322, 3599, 5042, 6025, 5882, 3477, 2365, 8773, 3795, 7019, 6644, 2685, 732, 4457, 1672, 6759, 7111, 1716, 9132, 6461, 3952, 6534, 9603, 8558, 9036, 3032, 9422, 4183, 347, 4191, 4975, 8334, 5032, 3409, 7321, 4343, 2139, 4148, 3092, 8632, 1333, 8346, 4700, 7185, 473, 1048, 1472, 5150, 3281, 3636, 9282, 3175, 7196, 379, 419, 6321, 6639, 426, 1873, 7451, 9801, 6429, 8195, 3382, 8211, 5164, 5854, 146, 9954, 6085, 3972, 8888, 5849, 8067, 2516, 7205, 5223, 9292, 5111, 4044, 8422, 7471, 1057, 7030, 9628, 3690, 5572, 6079, 4214, 9029, 5529, 5498, 5844, 6590, 5848, 4874, 6970, 8410, 2579, 1729, 9424, 1473, 657, 770, 9259, 7968, 1604, 6377, 7520, 4499, 945, 1485, 3439, 48, 3347, 7526, 7554, 6242, 7108, 6181, 4970, 7878, 4734, 3023, 5375, 2424, 2525, 9012, 1617, 9975, 6097, 3325, 1532, 1099, 273, 4406, 9096, 8271, 3096, 9754, 7362, 4391, 3802, 2832, 573, 6122, 5787, 3547, 6212, 1394, 7607, 8407, 5417, 2425, 1343, 2004, 6262, 743, 8498, 737, 7547, 9720, 9126, 8789, 6349, 3187, 5985, 2487, 1890, 3304, 5036, 8169, 5815, 8940, 5177, 7051, 6441, 5741, 8074, 6309, 134, 6407, 2736, 2926, 9407, 2738, 2268, 3781, 1591, 9847, 2335, 8484, 7079, 9463, 281, 3882, 4403, 494, 8787, 7253, 3879, 3019, 6250, 2132, 5022, 4449, 7114, 2596, 6729, 6075, 382, 1117, 6736, 1915, 6514, 5339, 3763, 8718, 7200, 1400, 8873, 7039, 6169, 9271, 7541, 7683, 9546, 9821, 5670, 7397, 8061, 6953, 8855, 3833, 7291, 5580, 9594, 703, 7229, 3689, 5784, 8894, 8923, 4379, 9865, 7646, 7482, 5139, 1548, 7819, 7309, 8463, 5964, 9864, 5234, 7439, 4814, 5142, 3397, 7076, 5909, 476, 855, 2236, 493, 824, 2227, 8811, 3183, 8071, 9863, 1654, 5353, 6467, 6727, 3811, 2084, 3933, 2447, 3400, 8928, 8640, 6855, 249, 1690, 7514, 53, 4804, 5476, 4941, 5723, 822, 6513, 2377, 2789, 4782, 3555, 1507, 3934, 736, 3238, 1615, 3211, 5550, 37, 4627, 6754, 9697, 4261, 3236, 9450, 6587, 3335, 9732, 1043, 5594, 8495, 6828, 8251, 1475, 610, 9344, 3897, 7702, 9610, 7006, 8958, 6553, 6468, 4691, 1953, 6938, 9128, 6963, 5705, 7138, 2032, 9199, 1864, 421, 1344, 6598, 9167, 845, 5582, 3704, 469, 2453, 8312, 3512, 5269, 1239, 4968, 4090, 1272, 4218, 989, 6335, 9956, 4195, 6152, 362, 992, 3351, 2509, 1248, 3536, 3628, 9035, 9432, 3989, 6919, 1353, 2718, 9406, 2251, 9651, 3501, 1900, 6037, 8206, 7149, 9207, 4093, 1692, 9618, 2646, 1997, 6, 9014, 5265, 5930, 4226, 9521, 3630, 8809, 612, 8075, 1246, 9534, 3634, 1664, 2753, 5660, 4739, 2831, 8981, 7800, 1031, 5901, 8835, 3869, 3589, 2039, 9288, 8471, 4645, 8430, 8645, 6585, 9491, 8701, 9755, 23, 6304, 2158, 3021, 775, 6537, 708, 2026, 8447, 6628, 4759, 7536, 4147, 4987, 9214, 786, 6024, 5097, 4854, 4614, 8621, 3548, 32, 8166, 9652, 1096, 5727, 1544, 1003, 9881, 2799, 7498, 8561, 8510, 1260, 1138, 7981, 5314, 2498, 7867, 2045, 6236, 7021, 4531, 6880, 60, 9312, 6884, 8857, 5405, 7274, 8925, 8964, 4111, 3329, 7550, 4909, 4371, 2477, 1158, 1463, 8174, 8836, 6905, 8681, 334, 5119, 2528, 1861, 5115, 7060, 2165, 5483, 8708, 6254, 4730, 3171, 5753, 4117, 8577, 5214, 8790, 6260, 7795, 6950, 1466, 8202, 8580, 937, 8735, 8950, 8571, 8916, 1549, 1567, 9441, 2611, 3239, 1034, 3888, 7620, 6062, 7130, 463, 9657, 7742, 2480, 5469, 7630, 446, 5423, 4787, 3365, 1419, 7797, 914, 269, 6692, 5455, 6542, 2825, 6131, 9600, 8070, 4845, 4268, 7744, 4426, 2607, 1431, 3768, 2836, 6886, 3450, 9223, 4390, 7938, 9988, 5698, 4972, 4173, 3585, 3951, 38, 6063, 7989, 7772, 7107, 1731, 5724, 2641, 5684, 1724, 2675, 6055, 1114, 3756, 2594, 147, 6074, 7964, 7224, 4272, 8957, 7545, 5629, 1638, 5731, 4849, 8106, 8444, 2763, 5775, 2283, 4553, 3747, 7152, 7965, 967, 6497, 5304, 4099, 7316, 4893, 2531, 4784, 3361, 2821, 6201, 4542, 4357, 3350, 8761, 8165, 4269, 5231, 2791, 9753, 1483, 6442, 2602, 4339, 7097, 9907, 9904, 4756, 6105, 4382, 5239, 3943, 4162, 9242, 7181, 5795, 886, 4966, 5279, 5671, 3735, 2536, 2687, 849, 6409, 6333, 7588, 986, 8792, 2608, 6979, 3596, 1882, 9990, 5124, 1298, 6340, 3022, 6420, 3244, 7601, 4796, 373, 7162, 8099, 1168, 8292, 7906, 7829, 6396, 1919, 9399, 7005, 2465, 245, 7040, 8265, 4481, 13, 1630, 4881, 25, 1989, 3666, 8966, 6413, 718, 5689, 5253, 1403, 254, 1137, 7209, 6176, 2777, 5215, 5615, 8420, 539, 1667, 669, 8406, 9952, 751, 9767, 151, 2185, 987, 5245, 3429, 9144, 480, 9069, 5785, 3872, 137, 1441, 887, 8493, 5743, 4285, 9824, 8859, 1954, 2570, 8779, 8651, 585, 3546, 3686, 236, 9870, 5569, 6426, 6733, 8472, 2269, 1666, 9072, 6285, 3891, 984, 1545, 1825, 3877, 2888, 2581, 9592, 2953, 4811, 1153, 7088, 9797, 6960, 6901, 9852, 592, 6595, 5047, 5906, 9013, 2521, 7119, 1696, 1499, 8184, 4473, 9485, 9337, 5175, 8417, 9444, 1103, 2287, 3016, 8838]
knapPI_1_200_1000_1;11238;11227;[10, 121, 146, 48, 134, 53, 37, 6, 23, 32, 60, 38, 147, 13, 25, 151]
knapPI_1_5000_1000_1;276457;276379;[2504, 830, 1143, 1457, 2744, 4131, 3562, 2896, 4648, 2720, 1361, 3215, 1904, 3216, 4487, 3364, 4512, 4026, 2966, 4818, 3398, 599, 3675, 10, 3584, 216, 603, 3180, 4544, 4152, 121, 1322, 3599, 3477, 2365, 3795, 2685, 732, 4457, 1672, 1716, 3952, 3032, 4183, 347, 4191, 4975, 3409, 4343, 2139, 4148, 3092, 1333, 4700, 473, 1048, 1472, 3281, 3636, 3175, 379, 419, 426, 1873, 3382, 146, 3972, 2516, 4044, 1057, 3690, 4214, 4874, 2579, 1729, 1473, 657, 770, 1604, 4499, 945, 1485, 3439, 48, 3347, 4970, 4734, 3023, 2424, 2525, 1617, 3325, 1532, 1099, 273, 4406, 3096, 4391, 3802, 2832, 573, 3547, 1394, 2425, 1343, 2004, 743, 737, 3187, 2487, 1890, 3304, 134, 2736, 2926, 2738, 2268, 3781, 1591, 2335, 281, 3882, 4403, 494, 3879, 3019, 2132, 4449, 2596, 382, 1117, 1915, 3763, 1400, 3833, 703, 3689, 4379, 1548, 4814, 3397, 476, 855, 2236, 493, 824, 2227, 3183, 1654, 3811, 2084, 3933, 2447, 3400, 249, 1690, 53, 4804, 4941, 822, 2377, 2789, 4782, 3555, 1507, 3934, 736, 3238, 1615, 3211, 37, 4627, 4261, 3236, 3335, 1043, 1475, 610, 3897, 4691, 1953, 2032, 1864, 421, 1344, 845, 3704, 469, 2453, 3512, 1239, 4968, 4090, 1272, 4218, 989, 4195, 362, 992, 3351, 2509, 1248, 3536, 3628, 3989, 1353, 2718, 2251, 3501, 1900, 4093, 1692, 2646, 1997, 6, 4226, 3630, 612, 1246, 3634, 1664, 2753, 4739, 2831, 1031, 3869, 3589, 2039, 4645, 23, 2158, 3021, 775, 708, 2026, 4759, 4147, 4987, 786, 4854, 4614, 3548, 32, 1096, 1544, 1003, 2799, 1260, 1138, 2498, 2045, 4531, 60, 4111, 3329, 4909, 4371, 2477, 1158, 1463, 334, 2528, 1861, 2165, 4730, 3171, 4117, 1466, 937, 1549, 1567, 2611, 3239, 1034, 3888, 463, 2480, 446, 4787, 3365, 1419, 914, 269, 2825, 4845, 4268, 4426, 2607, 1431, 3768, 2836, 3450, 4390, 4972, 4173, 3585, 3951, 38, 1731, 2641, 1724, 2675, 1114, 3756, 2594, 147, 4272, 1638, 4849, 2763, 2283, 4553, 3747, 967, 4099, 4893, 2531, 4784, 3361, 2821, 4542, 4357, 3350, 4269, 2791, 1483, 2602, 4339, 4756, 4382, 3943, 4162, 886, 4966, 3735, 2536, 2687, 849, 986, 2608, 3596, 1882, 1298, 3022, 3244, 4796, 373, 1168, 1919, 2465, 245, 4481, 13, 1630, 4881, 25, 1989, 3666, 718, 1403, 254, 1137, 2777, 539, 1667, 669, 751, 151, 2185, 987, 3429, 480, 3872, 137, 1441, 887, 4285, 1954, 2570, 585, 3546, 3686, 236, 2269, 1666, 3891, 984, 1545, 1825, 3877, 2888, 2581, 2953, 4811, 1153, 592, 2521, 1696, 1499, 4473, 1103, 2287, 3016, 215, 1975, 4179, 1042, 2203, 2742, 2090, 3624, 2860]
knapPI_2_200_1000_1;1634;1604;[37, 147, 23, 53, 32, 137, 70, 159, 198, 116, 10, 121]
knapPI_3_10000_1000_1;146919;146888;[8751, 8057, 7973, 7124, 6432, 6064, 5792, 5488, 5093, 5008, 3575, 2914, 2683, 2369, 2286, 1660, 1267, 8452, 8262, 7853, 7387, 7248, 6995, 6467, 4607, 4543, 4205, 9748, 7929, 7249, 6947, 6575, 4403, 2722, 883, 271, 9296, 8974, 8222, 5440, 4107, 3808, 3683, 2399, 2003, 8686, 6796, 6430, 6173, 5721, 5483, 5199, 3375, 2800, 1198, 946, 423, 9088, 9024, 8205, 7187, 6779, 6728, 5932, 5720, 2013, 7350, 7198, 4579, 4105, 3081, 721, 29, 9636, 8052, 6875, 5843, 4135, 1615, 1451, 852, 9385, 8304, 7383, 6954, 5889, 5731, 3427, 1206, 637, 323, 20, 9789, 8917, 8431, 7168, 7123, 4185, 2531, 2141, 1599, 1471, 432, 242, 9897, 9881, 8180, 6773, 6360, 1474, 8914, 8007, 7579, 6243, 3923, 2171, 7378, 5370, 2644, 1385, 9950, 8257, 7717, 7272, 6739, 5605, 4947, 4505, 3867, 2845, 2666, 1731, 767, 9400, 8659, 8366, 5506, 5467, 4783, 4730, 3419, 3159, 1849, 668, 9939, 8758, 8163, 8071, 7590, 6818, 6061, 4278, 4077, 3721, 3491, 3432, 3344, 2809, 2803, 2447, 1351, 926, 490, 8249, 8133, 6849, 6042, 3287, 1605, 1464, 1146, 169, 9407, 8088, 6608, 3571, 1834, 1261, 9019, 8296, 8075, 7904, 7526, 6611, 6046, 3803, 3409, 3031, 2478, 2096, 1984, 694, 583, 8382, 8240, 5155, 4285, 1733, 757, 273, 8885, 8453, 7791, 7110, 6184, 4974, 4536, 3380, 1193, 838, 9574, 9465, 9425, 8665, 7666, 7533, 6878, 4139, 2544, 1463, 1273, 8419, 7415, 6764, 6562, 5965, 5295, 3458, 3064, 2045, 1623, 8491, 6900, 6374, 6235, 3667, 3426, 2520, 1899, 157, 9628, 8863, 7944, 5027, 4848, 3973, 2946, 2944, 2025, 391, 8991, 8949, 8385, 6681, 764, 758, 9989, 9797, 9468, 8428, 7868, 6694, 6350, 4292, 4109, 2114, 1835, 8998, 8424, 6639, 5823, 5747, 3746, 3281, 1657, 1486, 292, 9564, 8324, 6877, 6379, 6013, 5803, 4313, 96, 8782, 6975, 6533, 4894, 2315, 675, 268, 8313, 5158, 4779, 2875, 2775, 307, 7604, 5162, 5032, 4870, 3830, 3208, 2621, 1877, 1617, 1472, 8627, 8533, 7571, 7380, 6738, 6073, 1890, 1353, 1344, 1314, 538, 9337, 9153, 5999, 5675, 4850, 498, 9228, 8223, 6800, 4663, 3985, 2970, 2806, 1561, 1540, 659, 9940, 9377, 9351, 9157, 8898, 8812, 7794, 6305, 6192, 5427, 5209, 2981, 2706, 1689, 1379, 9427, 8773, 7811, 5105, 4454, 4214, 2983, 2397, 2306, 2198, 1286, 7758, 2686, 1637, 9254, 8857, 8186, 7723, 6472, 6215, 5436, 1078, 9566, 9263, 8421, 2788, 2078, 1968, 546, 9592, 9568, 9062, 7639, 6393, 4316, 4008, 3275, 1681, 895, 8806, 7497, 7291, 6974, 6650, 5664, 5192, 5050, 4875, 3477, 3319, 2311, 1196, 909, 9539, 8003, 7094, 6945, 6342, 5852, 5216, 3234, 2157, 12, 9138, 7621, 6885, 6782, 5785, 2950, 1205, 842, 7622, 4748, 2517, 986, 849, 9382, 7866, 7536, 7032, 6742, 6422, 6038, 3681, 3230, 2719, 106, 8009, 7764, 5821, 5197, 4996, 4566, 3387, 3303, 1159, 7562, 7512, 5240, 5080, 4173, 265, 9641, 9512, 8531, 8481, 6670, 5591, 4754, 4670, 4052, 3325, 3182, 3014, 2838, 2062, 2051, 1467, 833, 8358, 7183, 6794, 6555, 6476, 6216, 5476, 5472, 5291, 4293, 4239, 2761, 1550, 574, 6065, 5222, 4472, 3780, 3567, 3483, 3334, 3096, 2299, 2191, 1411, 1167, 8489, 8191, 5154, 5123, 3906, 2481, 1369, 988, 921, 562, 375, 8323, 7158, 6465, 5494, 5267, 3662, 1978, 1710, 9925, 7978, 7485, 6199, 5674, 5039, 3645, 2816, 1309, 8395, 7507, 7325, 6835, 6455, 5095, 4681, 4264, 4134, 3800, 3731, 3071, 1224, 9027, 7782, 7339, 7260, 7178, 6107, 5743, 5399, 2343, 2234, 2179, 1406, 8449, 6366, 6145, 5174, 5047, 1567, 9231, 6416, 6149, 5693, 4538, 3695, 2899, 2862, 2147, 1644, 89, 6777, 6569, 5745, 5571, 5327, 3891, 3490, 3233, 3229, 2071, 1376, 7962, 4913, 4685, 2474, 1690, 524, 475, 9791, 9478, 8911, 8780, 8691, 7961, 7573, 7501, 6591, 5042, 5038, 4437, 4420, 3728, 2491, 1491, 597, 294, 9112, 8241, 8211, 7871, 7268, 5475, 2684, 8727, 8320, 8132, 5891, 4737, 2496, 1676, 1189, 211, 9572, 8522, 5578, 3030, 1945, 1436, 1007, 952, 4940, 147, 9852, 8787, 5645, 4589, 4168, 3308, 2653, 1695, 1648, 1001, 302, 113, 9757, 9608, 8742, 8471, 4215, 4090, 3215, 9882, 9051, 9015, 7839, 7218, 5161, 4854, 4064, 3689, 2658, 9283, 8480, 8213, 6615, 5367, 4330, 3162, 3088, 2688, 8425, 7406, 7256, 6799, 4021, 2701, 1555, 74, 9559, 8343, 6658, 5479, 5463, 2363, 1302, 1100, 938, 663, 9729, 8775, 8436, 5278, 4906, 4843, 4078, 3722, 2086, 204, 46, 9773, 9535, 9495, 7634, 7343, 7219, 7096, 7024, 6843, 5595, 5140, 3922, 1633, 9974, 9952, 6478, 4048, 2043, 1572, 1220, 724, 9708, 7386, 7159, 6783, 6190, 6115, 5526, 5191, 5062, 4692, 3119, 2926, 9632, 9290, 7476, 6971, 6631, 5827, 5292, 2969, 2159, 8390, 8346, 7051, 4305, 2826, 2765, 1614, 422, 9698, 8077, 5742, 5204, 4502, 3147, 2316, 2067, 7478, 6081, 1679, 959, 9653, 8680, 8625, 8600, 7738, 7208, 5442, 3522, 2237, 2119, 2006, 665, 505, 7744, 7408, 6702, 3939, 3365, 2398, 1105, 85, 9851, 9458, 8536, 4633, 2288, 1187, 1097, 855, 479, 9981, 9936, 9123, 8570, 7983, 6736, 5672, 5190, 4876, 9749, 6730, 6486, 6459, 3384, 2801, 2381, 1774, 1338, 9755, 9207, 8201, 7886, 4869, 4479, 4467, 3994, 3324, 3247, 2932, 9944, 9786, 9651, 9403, 8234, 8008, 6967, 5805, 4960, 4865, 4546, 3921, 3875, 3249, 2228, 584, 343, 5549, 5484, 5246, 5018, 4936, 3203, 8921, 7233, 7072, 6231, 4749, 3838, 3462, 1874, 958, 164, 9895, 9509, 8294, 7092, 5365, 5234, 4921, 2492, 2407, 1993, 1698, 1186, 1149, 739, 9338, 7633, 6700, 2192, 1656, 163, 120, 7815, 6197, 4703, 3533, 3328, 3307, 2241, 1759, 1416, 1345, 472, 233, 8598, 7002, 6905, 5662, 3276, 1853, 1170, 9673, 8701, 7872, 5875, 5515, 4395, 2427, 2149, 483, 9907, 9096, 8629, 8207, 7010, 3039, 2857, 2715, 1445, 851, 26, 1, 7469, 7137, 5661, 2673, 2212, 1203, 606, 567, 9762, 9460, 7470, 6201, 3403, 1942, 9693, 9381, 7449, 6830, 6217, 5308, 2345, 662, 607, 589, 203, 64, 9853, 9833, 6722, 6021, 4877, 3134, 3045, 2336, 892, 384, 76, 6969, 5374, 5025, 4406, 3997, 3896, 3199, 2107, 8198, 7974, 7117, 5598, 5554, 5072, 4211, 2263, 1439, 605, 274, 9818, 9543, 6499, 5214, 3698, 3152, 2276, 698, 9871]
